base_id,original_url,base_url,status,resolved_url,extension,file_type,content_type,content_length,notes
EFTA01600796,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796.mov,mov,video,video/quicktime,1779336,confirmed
EFTA01600797,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797.mov,mov,video,video/quicktime,1545283,confirmed
EFTA01600801,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801.mov,mov,video,video/quicktime,1068801,confirmed
EFTA01600794,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600794.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600794,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600794.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600795,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600795.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600795,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600795.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600799,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600799.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600799,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600799.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600800,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600800.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600800,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600800.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600802,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600802.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600802,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600802.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600804,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600804.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600804,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600804.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600806,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600806.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600806,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600806.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600807,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600807.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600807,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600807.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600808,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600808.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600808,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600808.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600809,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600809.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600809,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600809.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600810,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600810.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600810,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600810.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600812,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600812.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600812,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600812.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600813,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600813.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600813,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600813.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600814,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600814.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600814,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600814.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600815,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600815.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600815,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600815.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600817,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600817.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600817,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600817.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600822,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600822.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600822,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600822.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600823,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600823.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600823,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600823.pdf,pdf,pdf,application/pdf,4670,confirmed
EFTA01600824,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600824.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600824,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600824.mov,mov,video,video/quicktime,1005964909,confirmed
EFTA01612218,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612218.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612218,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612218.mp4,mp4,video,video/mp4,278513,confirmed
EFTA01612219,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612219.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612219,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612219.mp4,mp4,video,video/mp4,736130,confirmed
EFTA01612353,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612353.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612353,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612353.m4a,m4a,audio,audio/mp4,382567,confirmed
EFTA01612354,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612354.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612354,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612354.m4a,m4a,audio,audio/mp4,1354347,confirmed
EFTA01612355,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612355.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612355,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612355.m4a,m4a,audio,audio/mp4,1463011,confirmed
EFTA01612251,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612251.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612251,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612251.3gp,3gp,video,video/3gpp,185003,confirmed
EFTA01613258,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613258.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613258,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613258.m4a,m4a,audio,audio/mp4,1747045,confirmed
EFTA01613259,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613259.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613259,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613259.m4a,m4a,audio,audio/mp4,6514095,confirmed
EFTA01613386,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613386.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613386,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613386.mov,mov,video,video/quicktime,14782238,confirmed
EFTA01614483,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614483.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614483,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614483.mov,mov,video,video/quicktime,11000285,confirmed
EFTA01614506,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614506.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614506,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614506.mov,mov,video,video/quicktime,6664740,confirmed
EFTA01614277,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614277.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614277,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614277.pdf,pdf,pdf,application/pdf,2433,confirmed
EFTA01615887,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01615887.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01615887,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01615887.mov,mov,video,video/quicktime,11584268,confirmed
EFTA01616390,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616390.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616390,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616390.mov,mov,video,video/quicktime,4417239,confirmed
EFTA01615130,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01615130.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01615130,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01615130.pdf,pdf,pdf,application/pdf,2433,confirmed
EFTA01616820,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616820.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616820,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616820.mov,mov,video,video/quicktime,497279,confirmed
EFTA01616872,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616872.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616872,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616872.mov,mov,video,video/quicktime,17191385,confirmed
EFTA01616873,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616873.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616873,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616873.mov,mov,video,video/quicktime,1024033,confirmed
EFTA01617570,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617570.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617570,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617570.mov,mov,video,video/quicktime,1995010,confirmed
EFTA01617571,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617571.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617571,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617571.mov,mov,video,video/quicktime,1401313,confirmed
EFTA01617666,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617666.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617666,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617666.m4a,m4a,audio,audio/mp4,15558,confirmed
EFTA01617814,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617814.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617814,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617814.mov,mov,video,video/quicktime,10334186,confirmed
EFTA01617815,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617815.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617815,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617815.mov,mov,video,video/quicktime,11950106,confirmed
EFTA01617816,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617816.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617816,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617816.mov,mov,video,video/quicktime,18163388,confirmed
